question,distractor,answer
,малария,
,сифилис,1
,грип,
Развитие чрез метаморфоза е типично за:,Клас Насекоми,1
,Клас Бозайници,
,Клас Птици,
,Клас Главоноги,
Развитие чрез метаморфоза е типично за:,зелева пеперуда,1
,таралеж,
,папагал,
,октопод,
